Lays Original,1.00,Snacks,Sams,18.98,50,1.25
Lays BBQ,1.00,Snacks,Sams,18.98,50,1.25
Cheetos,1.00,Snacks,Sams,18.98,50,1.25
Cheetos Red Hot,1.00,Snacks,Sams,18.98,50,1.25
Skinny Pop,0.80,Snacks,Sams,14.98,30,1.25
Cheezits,1.50,Snacks,Sams,15.62,45,1.25
Baked Lays Original,1.10,Snacks,Sams,18.48,30,1.25
Snyder Pretzel Minis,1.50,Snacks,Sams,14.98,60,1.25
Honey Buns,3.00,Snacks,Sams,6.88,12,1.50
Veggie Chips Egg(Seasonal),0.50,Snacks,Sams,14.98,40,1.25
Miss Vickis Chips Asst.,1.40,Snacks,Sams,18.48,30,1.50
Frito Lays Munchies Cheese,1.75,Snacks,Sams,14.78,30,1.25
Goldfish Crackers,1.25,Snacks,Sams,13.14,36,1.25
Entenmens Little Bites Choc Chip,1.65,Snacks,Sams,12.26,20,1.50
Combo Cheddar Pretzel,1.80,Snacks,Sams,11.98,18,1.50
Big Texas Cinnamon Rolls,4.00,Snacks,Sams,9.58,12,1.75
Pop Tart Brown Sugar,3.40,Candy,Sams,11.58,24,1.25
Trail Mix Sweet and Salty,2.00,Candy,Sams,16.28,40,1.25
Peanut Asst.,1.75,Candy,Sams,10.88,24,1.25
Lance Peanutbutter Crackers,1.50,Candy,Sams,9.36,40,1.00
Fig Bars,2.00,Candy,Sams,14.48,32,1.00
Jerky Sticks Jack Links,0.80,Candy,Sams,14.98,15,2.00
Oreos,2.40,Candy,Sams,12.78,30,1.25
Pistacios Asst.,0.75,Candy,Sams,13.98,18,1.75
Belvita Cinnamon Bisquit,1.76,Candy,Sams,12.48,25,1.25
Pringles,0.67,Meals,Sams,17.98,48,1.00
Nutella to Go,1.80,Meals,Sams,15.68,16,2.00
Rice Krispies Treats,1.30,Meals,Sams,8.98,25,1.25
Chocolate Donut 6pk,3.00,Meals,Sams,7.98,12,1.50
Kind Bars,1.40,Meals,Sams,17.98,18,2.00
