Pepsi,16.9,Drinks,W-Mart,$5.28,6,$2.00
Pepsi Zero,16.9,Drinks,W-Mart,$5.28,6,$2.00
Diet Pepsi,16.9,Drinks,W-Mart,$5.28,6,$2.00
Mt. Dew,16.9,Drinks,W-Mart,$5.28,6,$2.00
Mt. Dew Zero,16.9,Drinks,W-Mart,$5.28,6,$2.00
Coke,16.9,Drinks,W-Mart,$4.98,6,$2.00
Coke Zero,16.9,Drinks,W-Mart,$4.98,6,$2.00
Diet Coke,16.9,Drinks,W-Mart,$4.98,6,$2.00
Sprite,16.9,Drinks,W-Mart,$4.98,6,$2.00
Sprite Zero,16.9,Drinks,W-Mart,$4.98,6,$2.00
Dr. Pepper,16.9,Drinks,W-Mart,$4.98,6,$2.00
Pepsi/Dew Cans,12,Drinks,Sams,$15.78,30,$1.25
Coke/Sprite/Dr Pepper Cans,12,Drinks,Sams,$17.56,35,$1.25
